country_iso3,country,country_name,document_count,balance_raw,balance_raw_observed,balance_raw_total,balance_raw_coverage,balance_raw_threshold_met,balance_raw_all_zero_conf,dimensions_scored,dimensions_total,dimensions_verified,dimensions_failed,unverified_dimensions,failed_dimensions,missing_dimensions,law_and_institutions_de_jure,law_and_institutions_de_facto,law_and_institutions_gap,law_and_institutions_confidence,law_and_institutions_page,law_and_institutions_status,law_and_institutions_quote,law_and_institutions_source_pdf,law_and_institutions_n_docs,standards_de_jure,standards_de_facto,standards_gap,standards_confidence,standards_page,standards_status,standards_quote,standards_source_pdf,standards_n_docs,audit_and_enforcement_de_jure,audit_and_enforcement_de_facto,audit_and_enforcement_gap,audit_and_enforcement_confidence,audit_and_enforcement_page,audit_and_enforcement_status,audit_and_enforcement_quote,audit_and_enforcement_source_pdf,audit_and_enforcement_n_docs,worker_protection_de_jure,worker_protection_de_facto,worker_protection_gap,worker_protection_confidence,worker_protection_page,worker_protection_status,worker_protection_quote,worker_protection_source_pdf,worker_protection_n_docs,transparency_de_jure,transparency_de_facto,transparency_gap,transparency_confidence,transparency_page,transparency_status,transparency_quote,transparency_source_pdf,transparency_n_docs
COL,COL_CONPES_4144_National_AI_Policy_2023,COL_CONPES_4144_National_AI_Policy_2023,2,0.1387,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.92,44,scored,"Colombia carece de un marco formal e institucional de gobernanza para el desarrollo, adopción y aprovechamiento de sistemas de IA.",COL_CONPES_4144_National_AI_Policy_2023,2,0.0,0.0,0.0,0.9,1,scored,"La presente ley tiene por objeto desarrollar el derecho constitucional que tienen todas las personas a conocer, actualizar y rectificar las informaciones que se hayan recogido sobre ellas en bases de datos o archivos",COL_Ley_1581_Personal_Data_Protection_2012,2,1.0,0.0,1.0,0.85,19,scored,"actualmente no se cuenta con herramientas que permitan incentivar, verificar y medir la aplicación de los mecanismos de implementación de los principios éticos en el ciclo de vida de la IA.",COL_CONPES_4144_National_AI_Policy_2023,2,0.0,0.0,0.0,0.72,1,scored,"La presente ley tiene por objeto desarrollar el derecho constitucional que tienen todas las personas a conocer, actualizar y rectificar las informaciones que se hayan recogido sobre ellas en bases de datos o archivos",COL_Ley_1581_Personal_Data_Protection_2012,2,1.0,0.0,1.0,0.78,61,scored,Actualmente el país no cuenta con suficiente información para caracterizar la apropiación del conocimiento sobre IA en la población.,COL_CONPES_4144_National_AI_Policy_2023,2
CZE,CZE_Act_110_2019_on_Personal_Data_Processing_2019,CZE_Act_110_2019_on_Personal_Data_Processing_2019,2,0.4652,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.67,3,scored,"We are going to ensure the safety of driverless cars, robots and autonomous weapons, simply wherever man and intelligent machine meet.",CZE_NAIS_National_AI_Strategy_2019,2,2.0,1.0,1.0,0.58,4,scored,Bodies authorised to issue personal data protection certification shall be accredited by an entity authorised to exercise the competence of an accreditation body under the law governing accreditation of bodies assessing conformity3).,CZE_Act_110_2019_on_Personal_Data_Processing_2019,2,2.0,1.0,1.0,0.67,3,scored,"We are going to prevent discrimination, manipulation and misuse of AI, we are going to set the rules for decision-making of algorithms about people in everyday life.",CZE_NAIS_National_AI_Strategy_2019,2,1.0,1.0,0.0,0.67,31,scored,Promoting the development of job opportunities and worker mobility following the impacts of automation and AI.,CZE_NAIS_National_AI_Strategy_2019,2,2.0,1.0,1.0,0.62,3,scored,"We are going to prevent discrimination, manipulation and misuse of AI, we are going to set the rules for decision-making of algorithms about people in everyday life.",CZE_NAIS_National_AI_Strategy_2019,2
DEU,DEU_BDSG_Federal_Data_Protection_Act_2018,DEU_BDSG_Federal_Data_Protection_Act_2018,2,0.5657,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.7,6,scored,"The Federal Government is therefore advocating and working towards a suitable regulatory framework, adapted to reflect AI-specific issues if and where appropriate",DEU_KI_Strategie_National_AI_Strategy_2020,2,2.0,1.0,1.0,0.67,31,scored,"Implementing the roadmap defined in the AI standardisation roadmap: developing test criteria on the basis of established and future test technologies to test the robustness, safety and security, reliability, integrity, transparency, explainability, interpretability and non-discrimination of (hybrid) AI systems",DEU_KI_Strategie_National_AI_Strategy_2020,2,2.0,1.0,1.0,0.58,21,scored,"In combination with metrology, accreditation, conformity assessment, market surveillance and environmental audits, rules, norms and standards form the quality infrastructure",DEU_KI_Strategie_National_AI_Strategy_2020,2,2.0,2.0,0.0,0.62,25,scored,Established safety requirements from the areas of machine safety and occupational health and safety regarding mental and physical hazards must not be weakened taking into account human-machine interaction.,DEU_KI_Strategie_National_AI_Strategy_2020,2,2.0,2.0,0.0,0.65,9,scored,"The Federal Commissioner shall produce an annual activity report which may contain a list of the types of violations reported and the types of measures taken, including penalties and measures taken in accordance with Article 58 (2) of Regulation (EU) 2016/679.",DEU_BDSG_Federal_Data_Protection_Act_2018,2
DNK,DNK_Databeskyttelsesloven_Data_Protection_Act_2018,DNK_Databeskyttelsesloven_Data_Protection_Act_2018,2,0.5638,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.82,32,scored,"Therefore, the government will set up an inter-ministerial working group to examine whether the issues in using artificial intelligence can be managed within the existing legislative framework.",DNK_National_Strategy_for_AI_2019,2,2.0,1.0,1.0,0.62,33,scored,"In order to gain real influence on European standardisation work, the government has successfully acquired responsibility for the secretariat of the upcoming European focus group that is to identify the needs for standardisation within artificial intelligence.",DNK_National_Strategy_for_AI_2019,2,2.0,2.0,0.0,0.72,13,scored,"The Data Protection Agency may demand being given all information of importance for its activities, including for the decision of whether a particular matter falls within the provisions of the General Data Protection Regulation and this Act.",DNK_Databeskyttelsesloven_Data_Protection_Act_2018,2,2.0,2.0,0.0,0.65,7,scored,The processing of personal data in an employment context as covered by Article 6(1) and Article 9(1) of the General Data Protection Regulation may take place where the processing is necessary for the purpose of observing and respecting the employment law obligations and rights of the controller or of the data subject as laid down by other law or collective agreements.,DNK_Databeskyttelsesloven_Data_Protection_Act_2018,2,2.0,1.0,1.0,0.77,10,scored,"Artificial intelligence must be developed and used within the relevant legislation, and with respect for the rights of citizens.",DNK_National_Strategy_for_AI_2019,2
EGY,EGY_Law_151_Personal_Data_Protection_2020,EGY_Law_151_Personal_Data_Protection_2020,2,0.2319,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.8,25,scored,"To maintain the safe and responsible growth of AI, it is imperative to establish a thorough regulatory structure, construct a thorough ethical framework, and create a distinct regulatory body.",EGY_National_AI_Strategy_2021,2,1.0,1.0,0.0,0.66,19,scored,Specialized agencies will be designated to set and oversee industrial data standards in alignment with best international practices.,EGY_National_AI_Strategy_2021,2,1.0,0.0,1.0,0.82,19,scored,"This may involve regular audits, inspections, and monitoring mechanisms to verify compliance and address any violations.",EGY_National_AI_Strategy_2021,2,1.0,0.0,1.0,0.6,6,scored,"The data subject shall have the following rights: To be informed of, access, or obtain their personal data held by any holder, controller, or processor.",EGY_Law_151_Personal_Data_Protection_2020,2,1.0,0.0,1.0,0.85,18,scored,"Comprehensive frameworks and standards to ensure responsible and ethical use of data in AI applications. This may include regulations on data collection, storage, sharing, privacy protection, and transparency.",EGY_National_AI_Strategy_2021,2
ETH,ETH_Personal_Data_Protection_Proclamation_1321_2024,ETH_Personal_Data_Protection_Proclamation_1321_2024,1,0.1944,5,5,5/5,True,False,5,5,3,0,"audit_and_enforcement,transparency",,,1.0,1.0,0.0,0.64,52,scored,The Authority shall make public a list of the processing operations which are subject to prior consultation in accordance with Sub-Article (2) lit. (b) Of this Article.,ETH_Personal_Data_Protection_Proclamation_1321_2024,1,1.0,0.0,1.0,0.75,52,scored,"The data controller or data processor shall provide the Authority with the data protection impact assessment and, whenever requested, any other information.",ETH_Personal_Data_Protection_Proclamation_1321_2024,1,2.0,1.0,1.0,0.0,0,scored,"Any person who against the rights of the data subject fails to erase personal data; fails to respect the right to object processing; restricts processing; or Does not respect the right against automated decisions shall be punished with imprisonment for a period starting from three years to five years or fined from 100,000 - 200,000 birr or both.",ETH_Personal_Data_Protection_Proclamation_1321_2024,1,0.0,0.0,0.0,0.35,11,scored,The Authority shall have the powers and functions to: 1/ Ensure the enforcement of this Proclamation;,ETH_Personal_Data_Protection_Proclamation_1321_2024,1,2.0,1.0,1.0,0.0,0,scored,Personal data's which existed before publication of this proclation and personal data's which need protection processed or will be processed only according to this proclamation.,ETH_Personal_Data_Protection_Proclamation_1321_2024,1
EU,EU_CELEX_32016R0679_EN_TXT,EU_CELEX_32016R0679_EN_TXT,1,0.7322,5,5,5/5,True,False,5,5,4,0,standards,,,2.0,2.0,0.0,0.77,70,scored,"to order the controller or processor to bring processing operations into compliance with the provisions of this Regulation, where appropriate, in a specified manner and within a specified period;",EU_CELEX_32016R0679_EN_TXT,1,3.0,2.0,1.0,0.31,0,scored,Effective protection of personal data throughout the Union requires the strengthening and setting out in detail of the rights of data subjects and the obligations of those who process and determine the processing of personal data.,EU_CELEX_32016R0679_EN_TXT,1,3.0,3.0,0.0,0.95,69,scored,"Each supervisory authority shall have all of the following investigative powers: (a) to order the controller and the processor, and, where applicable, the controller's or the processor's representative to provide any information it requires for the performance of its tasks;",EU_CELEX_32016R0679_EN_TXT,1,1.0,1.0,0.0,0.48,7,scored,"Any processing of personal data should be lawful and fair. It should be transparent to natural persons that personal data concerning them are collected, used, consulted or otherwise processed and to what extent the personal data are or will be processed.",EU_CELEX_32016R0679_EN_TXT,1,2.0,2.0,0.0,0.67,19,scored,"the establishment of certification mechanisms and data protection seals and marks should be encouraged, allowing data subjects to quickly assess the level of data protection of relevant products and services.",EU_CELEX_32016R0679_EN_TXT,1
FIN,FIN_Leading_the_Way_into_the_Age_of_AI_2019,FIN_Leading_the_Way_into_the_Age_of_AI_2019,2,0.6302,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.71,3,scored,"The policy report on Ethical information policy in an age of artificial intelligence outlines principles for fair data governance, including guidelines for the use of information and ethical values.",FIN_Leading_the_Way_into_the_Age_of_AI_2019,2,1.0,1.0,0.0,0.57,3,scored,The development and deployment of AI raises uncertainty about the application of the current legislation on these issues and increases the need for a reform of the legislative and regulatory framework.,FIN_Leading_the_Way_into_the_Age_of_AI_2019,2,3.0,3.0,0.0,0.88,9,scored,"The Data Protection Ombudsman has the right to obtain, on request, executive assistance from the police for performing his or her tasks.",FIN_Tietosuojalaki_1050_Data_Protection_Act_2018,2,2.0,2.0,0.0,0.64,2,scored,"To promote lifelong learning, a skills account or voucher will be created for all working-age people, which they can use to update their skills and purchase the training they need.",FIN_Leading_the_Way_into_the_Age_of_AI_2019,2,2.0,1.0,1.0,0.67,4,scored,The Finnish government has established an AI ethics committee to gain understanding on ethical principles and to ensure that Finland's AI development is human-oriented and based on trust.,FIN_Leading_the_Way_into_the_Age_of_AI_2019,2
FRA,FRA_AI_for_Humanity_National_AI_Strategy_2018,FRA_AI_for_Humanity_National_AI_Strategy_2018,1,0.4802,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.67,3,scored,Setting up a national platform for auditing algorithms. Evaluating the conformity to legal and ethical frameworks would increase transparency and reduce potential abuses to the use of AI;,FRA_AI_for_Humanity_National_AI_Strategy_2018,1,2.0,1.0,1.0,0.58,3,scored,Setting up a national platform for auditing algorithms. Evaluating the conformity to legal and ethical frameworks would increase transparency and reduce potential abuses to the use of AI;,FRA_AI_for_Humanity_National_AI_Strategy_2018,1,2.0,1.0,1.0,0.72,3,scored,Setting up a national platform for auditing algorithms. Evaluating the conformity to legal and ethical frameworks would increase transparency and reduce potential abuses to the use of AI;,FRA_AI_for_Humanity_National_AI_Strategy_2018,1,1.0,1.0,0.0,0.35,2,scored,The creation of a public laboratory on the transformation of work to encourage reflection on the ways in which automation is changing occupations and to provide support for professional transitions.,FRA_AI_for_Humanity_National_AI_Strategy_2018,1,2.0,1.0,1.0,0.62,3,scored,Setting up a national platform for auditing algorithms. Evaluating the conformity to legal and ethical frameworks would increase transparency and reduce potential abuses to the use of AI;,FRA_AI_for_Humanity_National_AI_Strategy_2018,1
GBR,GBR_Data_Protection_Act_2018,GBR_Data_Protection_Act_2018,2,0.498,5,5,5/5,True,False,5,5,5,0,,,,1.0,1.0,0.0,0.89,4,scored,This National AI Strategy will signal to the world our intention to build the most pro-innovation regulatory environment in the world;,GBR_National_AI_Strategy_2021,2,1.0,1.0,0.0,0.81,32,scored,"Pilot an AI Standards Hub to coordinate UK engagement in AI standardisation globally, and explore with stakeholders the development of an AI standards engagement toolkit to support the AI ecosystem to engage in the global AI standardisation landscape.",GBR_National_AI_Strategy_2021,2,3.0,2.0,1.0,0.9,38,scored,The controller and the processor must make the records kept under this section available to the Commissioner on request.,GBR_Data_Protection_Act_2018,2,2.0,2.0,0.0,0.68,50,scored,Each controller must implement effective mechanisms to encourage the reporting of an infringement of this Part.,GBR_Data_Protection_Act_2018,2,1.0,1.0,0.0,0.83,7,scored,"By leading with our democratic values, the UK will work with partners around the world to make sure international agreements embed our ethical values, making clear that progress in AI must be achieved responsibly",GBR_National_AI_Strategy_2021,2
GHA,GHA_Data_Protection_Act_843_2012,GHA_Data_Protection_Act_843_2012,2,0.1794,5,5,5/5,True,False,5,5,5,0,,,,2.0,1.0,1.0,0.72,22,scored,"Where the Commission is satisfied on a complaint by a person who has given notice in subsection (1), that the data controller has failed to comply with the notice, the Commission may order that data controller to comply with the notice.",GHA_Data_Protection_Act_843_2012,2,1.0,0.0,1.0,0.83,21,scored,"Importantly, cross-sector collaboration and standardisation in operational models across institutions will ensure uniformity.",GHA_National_AI_Strategy_2023,2,0.0,0.0,0.0,0.81,15,scored,"The lack of transparency and explainability in some AI systems (e.g. neural networks and deep learning) makes it difficult to detect bias, audit and trust AI systems, and hold them accountable.",GHA_National_AI_Strategy_2023,2,0.0,0.0,0.0,0.95,23,scored,"Where an individual suffers damage or distress through the contravention by a data controller of the requirements of this Act, that individual is entitled to compensation from the data controller for the damage or distress.",GHA_Data_Protection_Act_843_2012,2,1.0,1.0,0.0,0.62,11,scored,A data controller who collects data shall take the necessary steps to ensure that the data subject is aware of the purpose for the collection of the data.,GHA_Data_Protection_Act_843_2012,2
